alpha,beta,model_name,k,accuracy,correct,total,time_sec
0.9,0.1,claude-instant-v1,10,0.8062100456621004,8828,10950,7.509998083114624
0.9,0.1,claude-instant-v1,40,0.8479452054794521,9285,10950,8.144068241119385
0.9,0.1,gpt-3.5-turbo-1106,5,0.7718721461187215,8452,10950,7.509532928466797
0.9,0.1,gpt-3.5-turbo-1106,10,0.8054794520547945,8820,10950,6.740037202835083
0.9,0.1,gpt-3.5-turbo-1106,40,0.8489497716894977,9296,10950,7.436073064804077
0.9,0.1,gpt-4-1106-preview,5,0.7705022831050228,8437,10950,7.390169143676758
0.9,0.1,gpt-4-1106-preview,10,0.8071232876712329,8838,10950,7.382803201675415
0.9,0.1,gpt-4-1106-preview,40,0.8479452054794521,9285,10950,7.851167917251587
0.9,0.1,meta/llama-2-70b-chat,5,0.7707762557077625,8440,10950,7.8090620040893555
0.9,0.1,meta/llama-2-70b-chat,10,0.8058447488584475,8824,10950,6.935885190963745
0.9,0.1,meta/llama-2-70b-chat,40,0.8470319634703196,9275,10950,7.318723917007446
0.9,0.1,meta/code-llama-instruct-34b-chat,5,0.7708675799086758,8441,10950,6.566004991531372
0.9,0.1,meta/code-llama-instruct-34b-chat,10,0.8045662100456621,8810,10950,6.446460962295532
0.9,0.1,meta/code-llama-instruct-34b-chat,40,0.8477625570776256,9283,10950,7.226035118103027
0.9,0.1,claude-v1,5,0.7714155251141552,8447,10950,6.707532644271851
0.9,0.1,claude-v1,10,0.806027397260274,8826,10950,6.803426265716553
0.9,0.1,claude-v1,40,0.8470319634703196,9275,10950,7.333053827285767
0.9,0.1,claude-v2,5,0.7705022831050228,8437,10950,6.790086030960083
0.9,0.1,claude-v2,10,0.8065753424657535,8832,10950,7.127980709075928
0.9,0.1,claude-v2,40,0.8476712328767123,9282,10950,7.381939888000488
